uni_codigo;uni_nombre;prv_descri;can_descri;parr_descr;zon_cod;dis_cod;tipologia_;tipo_entid;sexo;edad_0;edad_1;edad_2;edad_3;edad_4;edad_5;edad_6;edad_7;edad_8;edad_9;edad_10;edad_11;edad_12;edad_13;edad_14;edad_15;edad_16;edad_17;edad_18;edad_19;edad_20;edad_21;edad_22;edad_23;edad_24;edad_25;edad_26;edad_27;edad_28;edad_29;edad_30;edad_31;edad_32;edad_33;edad_34;edad_35;edad_36;edad_37;edad_38;edad_39;edad_40;edad_41;edad_42;edad_43;edad_44;edad_45;edad_46;edad_47;edad_48;edad_49;edad_50;edad_51;edad_52;edad_53;edad_54;edad_55;edad_56;edad_57;edad_58;edad_59;edad_60;edad_61;edad_62;edad_63;edad_64;edad_65;edad_66;edad_67;edad_68;edad_69;edad_70;edad_71;edad_72;edad_73;edad_74;edad_75;edad_76;edad_77;edad_78;edad_79;edad_80;edad_81;edad_82;edad_83;edad_84;edad_85;edad_86;edad_87;edad_88;edad_89;edad_90;edad_91;edad_92;edad_93;edad_94;edad_95;edad_96;edad_97;edad_98;edad_99;edad_100;poblacion;embarazadas;ano_poblacion;latitud
000541;SAN VICENTE;EL ORO;ARENILLAS;ARENILLAS;Z07;07D05;CENTRO DE SALUD A;CS-A;Hombre;58;58;59;60;62;63;65;66;67;68;70;71;71;71;71;70;69;68;68;67;67;67;67;67;66;66;66;66;66;66;66;65;65;64;63;63;61;60;59;58;58;57;55;53;51;50;48;47;46;44;43;43;42;41;40;39;38;37;35;34;32;31;29;28;26;25;23;22;20;19;18;17;16;15;14;13;12;11;9;8;7;7;6;5;5;5;5;4;3;3;3;2;2;1;1;1;1;1;0;0;1;3953;0;2026;-3.560063,-80.061547
000541;SAN VICENTE;EL ORO;ARENILLAS;ARENILLAS;Z07;07D05;CENTRO DE SALUD A;CS-A;Mujer;55;56;56;58;59;60;62;63;64;65;66;66;66;66;65;64;63;62;62;62;62;62;63;63;63;63;63;64;64;64;64;64;64;63;63;62;60;58;57;57;56;56;55;54;53;52;51;50;50;49;48;47;47;46;45;44;43;41;40;38;37;35;33;32;30;28;27;25;24;22;21;20;19;18;17;16;15;14;12;11;10;9;9;8;7;6;6;5;4;4;3;3;3;2;2;1;1;1;1;1;2;3993;104;2026;-3.560063,-80.061547
000542;SAN ISIDRO URBANO;EL ORO;ARENILLAS;ARENILLAS;Z07;07D05;CENTRO DE SALUD B;CS-B;Hombre;28;29;29;30;30;31;32;32;33;34;34;35;35;35;35;34;34;33;33;33;33;33;33;33;32;32;32;32;32;32;32;32;32;31;31;31;30;29;29;29;28;28;27;26;25;24;24;23;22;22;21;21;20;20;19;19;19;18;17;17;16;15;14;13;13;12;11;11;10;9;9;8;8;7;7;6;6;5;5;4;4;3;3;3;2;3;2;2;2;1;1;1;1;1;1;0;0;0;0;0;0;1937;0;2026;-3.550174,-80.060624
000542;SAN ISIDRO URBANO;EL ORO;ARENILLAS;ARENILLAS;Z07;07D05;CENTRO DE SALUD B;CS-B;Mujer;27;27;28;28;29;29;30;31;31;32;32;33;33;32;32;31;31;31;30;30;30;30;31;31;31;31;31;31;31;31;31;31;31;31;31;30;29;29;28;28;28;27;27;26;26;25;25;25;24;24;24;23;23;23;22;22;21;20;20;19;18;17;16;15;15;14;13;12;12;11;10;10;9;9;8;8;7;7;6;5;5;5;4;4;3;3;3;2;2;2;2;1;1;1;1;1;1;0;0;0;1;1957;51;2026;-3.550174,-80.060624
000543;CAÑAS;EL ORO;ARENILLAS;ARENILLAS;Z07;07D05;PUESTO DE SALUD;PS;Hombre;10;10;10;11;11;11;11;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;11;11;11;11;11;11;10;10;10;10;10;10;9;9;9;8;8;8;8;8;7;7;7;7;7;7;6;6;6;6;5;5;5;5;4;4;4;4;3;3;3;3;3;2;2;2;2;2;1;1;1;1;1;1;1;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;694;0;2026;-3.666116,-79.957945
000543;CAÑAS;EL ORO;ARENILLAS;ARENILLAS;Z07;07D05;PUESTO DE SALUD;PS;Mujer;10;10;10;10;10;11;11;11;11;11;12;12;12;12;11;11;11;11;11;11;11;11;11;11;11;11;11;11;11;11;11;11;11;11;11;11;11;10;10;10;10;10;10;9;9;9;9;9;9;9;8;8;8;8;8;8;8;7;7;7;6;6;6;6;5;5;5;4;4;4;4;4;3;3;3;3;3;2;2;2;2;2;1;1;1;1;1;1;1;1;1;1;0;0;0;0;0;0;0;0;0;701;18;2026;-3.666116,-79.957945
000544;LA CUCA;EL ORO;ARENILLAS;LA CUCA;Z07;07D05;CENTRO DE SALUD A;CS-A;Hombre;17;17;18;18;18;19;19;20;20;21;21;21;21;21;21;21;21;20;20;20;20;20;20;20;20;20;20;20;20;20;20;20;19;19;19;19;18;18;18;17;17;17;17;16;15;15;14;14;14;13;13;13;12;12;12;12;11;11;11;10;10;9;9;8;8;7;7;6;6;6;5;5;5;4;4;4;4;3;3;2;2;2;2;2;1;2;1;1;1;1;1;1;1;0;0;0;0;0;0;0;0;1186;0;2026;-3.496498,-80.069570
000544;LA CUCA;EL ORO;ARENILLAS;LA CUCA;Z07;07D05;CENTRO DE SALUD A;CS-A;Mujer;16;17;17;17;18;18;18;19;19;19;20;20;20;20;20;19;19;19;19;18;18;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;18;17;17;17;17;17;17;16;16;16;15;15;15;15;14;14;14;14;14;13;13;12;12;11;11;10;10;9;9;9;8;8;7;7;6;6;6;5;5;5;5;4;4;3;3;3;3;2;2;2;2;2;1;1;1;1;1;1;1;0;0;0;0;0;1;1198;31;2026;-3.496498,-80.069570
000545;CARCABON;EL ORO;ARENILLAS;CARCABON;Z07;07D05;CENTRO DE SALUD A;CS-A;Hombre;7;7;7;7;7;8;8;8;8;8;8;8;9;9;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;7;7;7;7;7;7;7;6;6;6;6;6;5;5;5;5;5;5;5;5;5;4;4;4;4;4;3;3;3;3;3;3;2;2;2;2;2;2;2;2;1;1;1;1;1;1;1;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;474;0;2026;-3.626035,-80.188677
000545;CARCABON;EL ORO;ARENILLAS;CARCABON;Z07;07D05;CENTRO DE SALUD A;CS-A;Mujer;7;7;7;7;7;7;7;8;8;8;8;8;8;8;8;8;8;7;7;7;7;7;8;8;8;8;8;8;8;8;8;8;8;8;8;7;7;7;7;7;7;7;7;6;6;6;6;6;6;6;6;6;6;6;5;5;5;5;5;5;4;4;4;4;4;3;3;3;3;3;3;2;2;2;2;2;2;2;1;1;1;1;1;1;1;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;479;12;2026;-3.626035,-80.188677
000546;CHACRAS;EL ORO;ARENILLAS;CHACRAS;Z07;07D05;CENTRO DE SALUD A;CS-A;Hombre;15;15;15;16;16;16;17;17;18;18;18;18;19;19;18;18;18;18;18;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;16;16;16;15;15;15;15;14;14;13;13;13;12;12;12;11;11;11;11;10;10;10;10;9;9;8;8;8;7;7;6;6;6;5;5;5;4;4;4;4;3;3;3;2;2;2;2;2;1;1;1;1;1;1;1;1;1;0;0;0;0;0;0;0;0;0;1030;0;2026;-3.551355,-80.200642
